#,N Candidatos,N electros,Poblacion del distrito,Distrito
60,8,145.906,20
#,Mejores 3 Candidatos********************
#,Nombre1,Nombre2,Apellido1,Apellido2,Lista,Partido,Web,Codigo candidato,Dist L,Dist C
OSCAR,,VEGA,ORIHUELA,YB. LISTA DEL APRUEBO,DC,https://www.facebook.com/oscarvegaabogado,YB.32,10.32872208939712,9.712878049270463
FABIOLA,,TRONCOSO,ALVARADO,YB. LISTA DEL APRUEBO,DC,https://www.facebook.com/fabiolatroncoso,YB.29,10.32872208939712,9.745768312452332
PAVEL,LUCIANO,GUIÑEZ,NAHUELÑIR,YB. LISTA DEL APRUEBO,PR-IND,https://www.facebook.com/inche.che,YB.28,10.32872208939712,9.778547949465707
# Peor Candidato********************
#,Nombre1,Nombre2,Apellido1,Apellido2,Lista,Partido,Web,Codigo candidato,Dist L,Dist C
JOSE,,CISTERNAS,TAPIA,zzz CANDIDATURA INDEPENDIENTE,IFP,https://www.facebook.com/jose.cisternastapia,60,536.9280119345609,516.8576303006467
